iter	Passed	Remaining
0	171	1027123
1	173	521151
2	175	351808
3	178	267349
4	180	216791
5	183	183518
6	185	159225
7	188	141133
8	190	126901
9	193	115671
10	195	106318
11	197	98792
12	200	92364
13	202	86753
14	205	81820
15	207	77538
16	209	73891
17	215	71468
18	218	68804
19	221	66194
20	225	64067
21	227	61732
22	229	59667
23	232	57810
24	234	56021
25	236	54386
26	238	52858
27	241	51470
28	244	50387
29	247	49319
30	250	48161
31	252	47061
32	254	46014
33	256	45053
34	258	44110
35	261	43240
36	263	42411
37	265	41608
38	267	40881
39	269	40162
40	271	39506
41	274	38871
42	277	38385
43	279	37811
44	281	37263
45	284	36780
46	286	36257
47	288	35760
48	291	35351
49	293	34961
50	295	34526
51	298	34158
52	303	34013
53	306	33775
54	308	33391
55	312	33124
56	316	32996
57	320	32806
58	322	32492
59	325	32176
60	327	31875
61	329	31559
62	331	31255
63	334	30991
64	336	30752
65	339	30512
66	341	30263
67	344	30036
68	346	29815
69	349	29612
70	352	29454
71	355	29300
72	358	29080
73	360	28857
74	362	28643
75	364	28438
76	367	28246
77	369	28081
78	372	27900
79	374	27710
80	376	27525
81	379	27354
82	381	27181
83	384	27079
84	388	27045
85	391	26905
86	394	26803
87	399	26819
88	402	26709
89	408	26814
90	411	26721
91	417	26784
92	419	26664
93	422	26542
94	425	26419
95	429	26401
96	433	26402
97	436	26293
98	439	26172
99	446	26368
100	451	26367
101	454	26265
102	460	26345
103	464	26326
104	466	26206
105	469	26101
106	471	25964
107	474	25906
108	477	25802
109	480	25740
110	483	25627
111	485	25543
112	491	25600
113	493	25504
114	496	25409
115	498	25306
116	501	25224
117	504	25136
118	506	25054
119	510	25000
120	513	24945
121	516	24904
122	519	24820
123	522	24751
124	524	24672
125	527	24579
126	529	24486
127	531	24402
128	534	24315
129	536	24241
130	539	24175
131	542	24109
132	544	24034
133	547	23963
134	550	23924
135	554	23896
136	556	23823
137	559	23762
138	561	23678
139	563	23599
140	566	23540
141	569	23477
142	571	23392
143	573	23323
144	576	23283
145	579	23221
146	581	23171
147	584	23111
148	586	23038
149	589	22977
150	591	22911
151	593	22845
